type	conf	expFolder	map	expNumber	targetFound	exploredArea	takeoffsCount	actionsTotal	actionsCount	actionSequence
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	4	1	100.0	1	57	[0, 0, 39, 16, 2]	[2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 4, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	5	1	100.0	2	45	[1, 3, 31, 10, 0]	[2, 2, 3, 1, 2, 2, 3, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 3, 2, 2, 2, 3, 2, 3, 2, 0, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	6	1	100.0	1	41	[2, 0, 33, 6, 0]	[2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 0, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	7	1	100.0	0	40	[2, 2, 31, 4, 1]	[4, 2, 0, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	8	1	100.0	2	55	[0, 2, 40, 10, 3]	[3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 2, 4, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 3, 2, 2, 4, 2, 4, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	9	0	0.0	0	71	[4, 3, 54, 9, 1]	[2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 4, 2, 2, 1, 0, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 0, 2, 2, 3, 2, 1, 2, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	10	0	0.0	0	71	[0, 1, 48, 20, 2]	[2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 2, 4, 3, 2, 4, 2, 2, 3, 2, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-10-09T22-47-57	map-16BD	11	0	0.0	0	72	[5, 1, 46, 19, 1]	[2, 0, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 2, 2, 0, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 4, 3, 2, 3, 0, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 0, 2, 3, 2, 3, 2, 2, 3, 0, 2, 2, 2, 2, 2, 2, 3]
emulation	conf7.1	Exp-22-09-05T11-18-35	map-16A	0	1	82.32	2	33	[1, 2, 24, 6, 0]	[3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 0, 2, 2, 3, 2, 1, 2]
emulation	conf7.1	Exp-22-09-05T11-18-35	map-16AD	0	1	66.67	2	34	[0, 4, 23, 6, 1]	[2, 2, 3, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1]
emulation	conf7.1	Exp-22-09-05T11-18-35	map-16B	0	0	54.88	1	34	[1, 0, 25, 6, 2]	[2, 4, 2, 2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2]
emulation	conf7.1	Exp-22-09-05T11-18-35	map-16BD	0	0	44.87	1	34	[1, 0, 19, 13, 1]	[2, 3, 3, 2, 4, 3, 2, 3, 3, 0, 2, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	0	0	31.71	1	35	[1, 0, 25, 9, 0]	[2, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 0, 2, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	1	1	59.15	3	35	[1, 2, 25, 7, 0]	[2, 3, 2, 2, 2, 2, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	2	1	79.27	3	33	[0, 1, 22, 9, 1]	[2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	3	1	100.0	1	34	[0, 1, 24, 9, 0]	[3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	4	1	68.9	3	33	[1, 2, 21, 8, 1]	[2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 0, 1, 3, 3, 3, 2, 2, 4, 2, 3, 2, 2, 1, 2, 2, 2]
emulation	conf7.1	Exp-22-09-05T13-21-58	map-16A	5	0	0.0	0	34	[2, 1, 29, 2, 0]	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3, 0, 2]
